Cr.,PSl.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
bèzūmlje / be̠.zūml´e,*beza̠wmija,,*beza̠wmije,*bezō̠mije,,,,,,,,,*bezōmi̠je,,,,,*bezūmi̠je,,,,,,,,*bezūmь̠je,,,,,,,,,,,,*bezū̠·mьje,,,,,,,,,,,,*bezū̠·mje,,,,,,,,,,*bezū̠·mlje,,,,,,*bezū̠·ml´e,,,*bezū̠ml´e,be̠.zūml´e,,
bijêdan / bıē̠dan,*ba̠jdinu,,,*bē̠dinu,,,,,,,,,*bēdi̠nu,,,,,,,,,,,,*bědi̠nu,*bědь̠nъ,,,,,,,,,,,,*bě̠·dьnъ,,*bě̠·dьnь,,,,,,,,,,*bě̠·dьn,,,,,,*bě̠·dan,,,,,*bıē̠·-dan,,,,,,,,bıē̠dan,,,
"bîlje / bī̠l´e (die Dehnung erfolgte vielleicht in Analogie zu Wörtern des Typs zdrā̠vl´e oder stıē̠ńe, s. dort)",*bū̠˙lija,,*bū̠˙lije,,,,,,,,,,,,,*by̠˙lije,,,,,,,,,,*by̠˙lьje,,,,,,,,,,,,,*bī̠˙lьje,,,,,*bi̠lь-je,,,,,,*bi̠lje,,,,,,,,,,,,,,,,"bī̠l´e (die Dehnung erfolgte vielleicht in Analogie zu Wörtern des Typs zdrā̠vl´e oder stıē̠ńe, s. dort)",,,,,,
bȉo / bi̠o (neben analogischem bıē̠l),*bē̠lu,,,,,,,,,,,,*bēlu̠,,,,,,,,,,,,*bělu̠,*bělъ̠,,,,,,,,,,,,*bě̠·lъ,,*bě̠·lь,,,,,,,,,,*bě̠·l,,,,,,,,*bī̠·l,,,,,,,bi̠o (neben analogischem bıē̠l),,,,,,,
bȍb / bo̠b : bo̠.ba,N sg. *ba̠bu : G sg. *ba̠bā,,,,,,,,,,,,*babu̠ : *babā̠,,,,,,,,,,,*bobu̠ : *bobā̠,,*bobъ̠ : *bobā̠,,,,,,*bobъ̠ : *boba̠,,,,,,*bo̠bъ : *boba̠,,*bo̠bь : *boba̠,,,,,,,,,,*bo̠b : *boba̠,,,,,,,,,,,,,,,,,,,,bo̠b : bo̠.ba,,
bôg / bō̠g,*bagu,,,,,,,,,,,,,,,,,,,,,,,*bogu,,*bogъ,,,,*bōgъ,*bō̠gъ,,,,,,,,,*bō̠gь,,,,,,,,,,bō̠g,,,,,,,,,,,,,,,,,,,,,,
bȍlesno / bo̠lesno,*balestina,,,,,,,,,,,,,,,,,,,,,,,*bolestino,,*bolestьno,,,,,*bo̠lestьno,,,,,,,,,,,,,,,,,,,*bo̠lestno,,,bo̠lesno,,,,,,,,,,,,,,,,,,,
brȁća / bra̠ća,*brā̠˙tijā˙,,*brā̠˙tijē˙,,*brā̠˙tijā˙,,,,,,,,,,,,,,,,,,,,,*brā̠˙tьjā˙,,,,,,*brā̠˙tьja,,,,,,,,,,,,*bra̠tьja,,,,,,*bra̠tja,,,,,,,,,,,,,,,,*bra̠t´a,,,,,,bra̠ća
bràdat / bra̠.dat,*bardā̠˙tu,,,,,,,,,,,,,,,,,,,,*brādā̠˙tu,,,,,*brādā̠˙tъ,,,,,,,,,,,,,,*brādā̠˙tь,,*bradā̠˙tь,,*brada̠tь,,,,,,*brada̠t,,,,,,,,,,,,,,,,,,,,bra̠.dat,,
brȁt / bra̠t,*brā̠˙t(r)u,,,,,,,,,,,,,,,,,,,,,,,,,*brā̠˙tъ,,,,,,,,,,,,,,*brā̠˙tь,,,,*bra̠tь,,,,,,bra̠t,,,,,,,,,,,,,,,,,,,,,,
