Ru.,PSl.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,cf,loanwords
бдe̠ть / bdʼe̠tʼ,*budē̠˙tēj,,,*budē̠˙tẹ̄,,,*budē̠˙tī,,,,,,,,,,,,,,,,,,,,*budě̠̄˙tī,*bъdě̠̄˙tī,*bъdě̠̄˙ti,,,*bъdʼě̠̄˙tʼi,,,*bъ1dʼě̠̄˙tʼi,,,*bъ1dʼě̠̄tʼi,,,,,,,,,,,*bdʼě̠̄tʼi,,,,,,,,,,,,,,,,,*bdʼě̠tʼ,,,,,bdʼe̠tʼ,,"vgl. блюстu̠, будu̠ть",
бe̠ден / bʼe̠dʼɪn,*ba̠jdinu,,,*bē̠dinu,,,,,,,,*bēdi̠nu,,,,,,,,,,,,,,,*bě̄di̠nu,*bě̄dь̠nъ,,,,*bʼě̄dʼь̠nъ,,,*bʼě̄dʼь̠2nъ1,,,,,,,,,,,,,,*bʼě̄dʼь̠2n,,,,*bʼě̄dʼe̠n,,,,,,,,,,,,,*bʼědʼe̠n,,bʼe̠dʼɪn,,,,,,
белa̠ / bʼɪla̠,*bē̠lā˙,,,,,,,,,,,*bēlā̠˙,,,,,,,,,,,,,,,*bě̄lā̠˙,,*bě̄la̠,,,*bʼě̄la̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*bʼěla̠,,bʼɪla̠,,,,,vgl. белo̠,
белo̠ / bʼɪlo̠,*bē̠la,,,,,,,,,,,*bēla̠,,,,,,,,,,,,*bēlo̠,,,*bě̄lo̠,,,,,*bʼě̄lo̠,,,,,,,,,,,,,*bʼě̄lô̠,,,,,,,,,,,,,,,,,,,,,*bʼělô̠,,*bʼɪlô̠,,,,bʼɪlo̠,vgl. белa̠,
берё̠за / bʼɪrʼo̠zə,*be̠r˙zā˙,,,,,,,,,,,,*be̠r˙zā,,,,,,,,,,*bere̠zā,,,,,,*bere̠za,,,*bʼerʼe̠za,,,,,,,,,,,,,,,,,,,,,,,,,,,,*bʼerʼo̠za,,,,,,,,bʼɪrʼo̠zə,,,,,,
берe̠мя / bʼɪrʼe̠mʼɪ,*be̠r˙mēn,,,,,,,,,,,,,,,*be̠r˙men,,,,,,,*bere̠men,,,*bere̠mę̄,,,*bere̠mę,,,*bʼerʼe̠mʼę,*bʼerʼe̠mʼa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bʼɪrʼe̠mʼɪ,,,,,,Nach § 22 entlehnt ist wot. pärämmä.
блoхa̠ / bləxa̠,*blu̠xā˙,,,,,,,,,,,*bluxā̠˙,,,,,,,,,,,,,,,,*blъxā̠˙,*blъxa̠,,,,,,*blъ2xa̠,,,,,,,,,,,,,,,,,,*bloxa̠,,,,,,,,,,,,,,,bləxa̠,,,,,,
блю̠до / blʼu̠də,*bja̠w˙da,,*bje̠w˙da,bjọ̠̄˙da,,,,,*bljọ̠̄˙da,,,,,,,,,,*blˊjọ̠̄˙da,,,,,*blˊjọ̠̄˙do,,,,,,*blˊọ̠̄˙do,,,,,,,,*blˊọ̠̄do,*blˊūdo,,,,,,,,,,,,,*blʼū̠do,,,,,,,,,,,,,,*blʼu̠do,,blʼu̠də,,,,,,
блюстu̠ / blʼusʼtʼi̠,*bjawstē̠j,,*bjewstē̠j,*bjọ̄stẹ̠̄,,,*bjọ̄stī̠,,*bljọ̄stī̠,,,,,,,,,,*blˊjọ̄stī̠,,,,,,,,,,*blˊjọ̄sti̠,*blˊọ̄sti̠,,*blˊọ̄stʼi̠,,,,,,,*blˊūstʼi̠,,,,,,,,,,,,,*blʼūstʼi̠,,,,,,,,,,*blʼūsʼtʼi̠,,,,blʼusʼtʼi̠,,,,,,,"vgl. бдe̠ть, будu̠ть",
бo̠б / bo̠p,*ba̠bu,,,,,,,,,,,*babu̠,,,,,,,,,,,,*bobu̠,,,,*bobъ̠,,,,,,,*bobъ̠1,,*bo̠bъ1,,,,,,,,*bô̠bъ1,,,,*bô̠b,,,,,,,,*bô̠p,,,,,,,,,,,,,,,bo̠p,vgl. бoбa̠,
бoбa̠ / bʌba̠,*ba̠bā,,,,,,,,,,,*babā̠,,,,,,,,,,,,*bobā̠,,,,,*boba̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bʌba̠,,,,,vgl. бo̠б,
бoбё̠р / bʌbʼo̠r,*ba̠bru,,,,,,,,,,,*babru̠,,,,,,,,,,,,*bobru̠,,,,*bobrъ̠,,,*bobьrъ̠,*bobʼьrъ̠,,,*bobʼь2rъ̠1,,*bobʼь̠2rъ1,,,,,,,,,,,,*bobʼь̠2r,,,,,,,,,,,*bobʼo̠r,,,,,,,,bʌbʼo̠r,,,,,,
бo̠г / bo̠k,*bagu,,,,,,,,,,,,,,,,,,,,,,,*bogu,,,,*bogъ,,,,,,,*bogъ1,,,,,,,,,,,,,,*bog,,,,,*bo̠g,,,bo̠k,,,,,,,,,,,,,,,,,
боe̠ц / bʌje̠c,*baji̠ku,*baji̠tˊu,*baji̠tˊi,,,,,,,,,*bajitˊi̠,,*bajicʼi̠,,,,,,,,,,*bojicʼi̠,,,,*bojьcʼь̠,,,,,,,*bojь2cʼь̠1,,bojь̠2cʼь1,,,,,,,,,,,,*bojь̠2cʼ,,,,*boje̠cʼ,,,,,,,,*boje̠c,,,,,,,bʌje̠c,,,,,vgl. бойцы̠,
бойцы̠ / bʌjcy̠,*baji̠kuj,*baji̠tˊuj,*baji̠tˊij,*baji̠tˊī,,,,,,,,*bajitˊī̠,,*bajicʼī̠,,,,,,,,,,*bojicʼī̠,,,,*bojьcʼī̠,*bojьcʼi̠,,,,,,*bojь1cʼi̠,,,,,,,,,,,,,,*bojcʼi̠,,,,,,,,,,,,*bojci̠,,*bojcy̠,,,,,bʌjcy̠,,,,,vgl. боe̠ц,
болo̠тo / bʌlo̠tə,*ba̠l˙ta,,,,,,,,,,,,,,,,,,,,,,*bala̠ta,*bolo̠to,,,,,,,,,,,,,,,,,,,,,*bolô̠to,,,,,,,,,,,,,,,,,,,,,,,*bʌlô̠tə,,,,bʌlo̠tə,,
бородa̠ / bərʌda̠,*bardā̠˙,,,,,,,,,,,,,,,,,,,,,,*baradā̠˙,*borodā̠˙,,,,,*boroda̠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bərʌda̠,,,,,vgl. бo̠роду,Vor § 22 und § 23 entlehnt ist finn. parta.
бo̠роду / bo̠rədu,*bardān,,,,,,,,,,,,,,,*bardan,,,,,,,*baradan,*borodon,,*borodǭ,,,*borodǫ,,,,*borodọ,,,,,,*borodu,,,,,,,,,,,,,,,*bo̠rodu,,,,,,,,,,,,,,bo̠rədu,,,,,vgl. бoродa̠,
брa̠т / bra̠t,*brā̠˙t(r)u,,,,,,,,,,,,,,,,,,,,,,,,,,,*brā̠˙tъ,,,,,,,*brā̠˙tъ1,,,*brā̠tъ1,,,,,,,,,,,*brā̠t,,,,,,,,,,,,,,,,,bra̠t,,,,,,,vgl. брa̠тья,
брa̠тья / bra̠tʼjɪ,*brā̠˙tijā˙,,*brā̠˙tijē˙,,*brā̠˙tijā˙,,,,,,,,*brā̠˙tijā,,,,,,,,,,,,,,,*brā̠˙tьjā,*brā̠˙tьja,,,*brā̠˙tʼьja,,,*brā̠˙tʼь1ja,,,*brā̠tʼь1ja,,,,,,,,,,,*brā̠tʼja,,,,,,,,,,,,,,,,,*bra̠tʼja,,bra̠tʼjɪ,,,,,vgl. брa̠т,
будu̠ть / budʼi̠tʼ,*bawdī̠˙tēj,,,*bọ̄dī̠˙tẹ̄,,,*bọ̄dī̠˙tī,,,,,,,,,,,,,,,,,,,,,,*bọ̄dī̠˙ti,,,*bọ̄dʼī̠˙tʼi,,,,,,*bọ̄dʼī̠tʼi,*būdʼī̠tʼi,,,,,,,,,,,,,,,,,,,,,,,,,,,budʼi̠tʼ,,,,,,,"vgl. бдe̠ть, блюстu̠",
бy̠ря / bu̠rʼɪ,*ba̠w˙rjā˙,,*ba̠w˙rjē˙,*bọ̠̄˙rjē˙,*bọ̠̄˙rjā˙,,,,,,,,,,,,,,*bọ̠̄˙rʼjā˙,,,,,,,,,,*bọ̠̄˙rʼja,*bọ̠̄˙rʼa,,,,,,,,*bọ̠̄rʼa,*bū̠rʼa,,,,,,,,,,,,,,,,,,,,,,,,,,,*bu̠rʼa,,bu̠rʼɪ,,,,,,
в / v,*u,,,,,*wu,,,,,,,,,,,,,,,,,,,,,,*wъ,,,,,,,*wъ1,,,,,,,,,,,,,,*w,,,,,,,v,,,,,,,,,,,,,,,,,,
вe̠ра / vʼe̠rə,*wē̠˙rā˙,,,,,,,,,,,,*wē̠˙rā,,,,,,,,,,,,,,*wě̠̄˙rā,,*wě̠̄˙ra,,,*wʼě̠̄˙ra,,,,,,*wʼě̠̄ra,,,,,,,,,,,,,,,,,,*vʼě̠̄ra,,,,,,,,,,*vʼě̠ra,,*vʼě̠rə,,,vʼe̠rə,,vgl. вe̠рный,
верезжa̠ть / vʼɪrʼɪžža̠tʼ,*werždžē̠˙tēj,,,*werždžē̠˙tẹ̄,*werždžā̠˙tẹ̄,,*werždžā̠˙tī,,,,,,,,,,,,,,,,*wereždžā̠˙tī,,,,,,*wereždžā̠˙ti,,,*wʼerʼeždžā̠˙tʼi,,,,,,*wʼerʼeždžā̠tʼi,,,,,,,,,,,,,,,,,,*vʼerʼeždžā̠tʼ,,,,,,,,,,*vʼerʼeždža̠tʼ,,*vʼɪrʼɪždža̠tʼ,,vʼɪrʼɪžža̠tʼ,,,vgl. вe̠резг,
вe̠резг / vʼe̠rʼɪsk,*werzgu,,,,,,,,,,,,,,,,,,,,,,*werezgu,,,,,*werezgъ,,,,*wʼerʼezgъ,,,*wʼerʼezgъ1,,,,,,,,,,,,,,*wʼerʼezg,,,,,*wʼe̠rʼezg,,*vʼe̠rʼezg,*vʼe̠rʼesk,,,,,,,,,,,vʼe̠rʼɪsk,,,,,vgl. верезжa̠ть,
вe̠реск / vʼe̠rʼɪsk,*wersku,,,,,,,,,,,,,,,,,,,,,,*weresku,,,,,*wereskъ,,,,*wʼerʼeskъ,,,*wʼerʼeskъ1,,,,,,,,,,,,,,*wʼerʼesk,,,,,*wʼe̠rʼesk,,*vʼe̠rʼesk,,,,,,,,,,,,vʼe̠rʼɪsk,,,,,vgl. верещa̠ть,
