source,target,type,confident,description
1,2,F,TRUE,"Feeding: Palatal consonants resulting from the Third Palatalization (§ 1) triggered umlaut (§ 2), e.g. PSl. *su̠l˙nika > *su̠l˙nitˊa > *su̠l˙nitˊe > Ru. so̠ncə. Hence the Third Palatalization must be older than umlaut."
1,2,CF,TRUE,"Counterfeeding: High front vowels resulting from umlaut (§ 2) did not trigger the Third Palatalization (§ 1), e.g. PSl. *juga > *jiga > Ru. i̠gə and not *juga > *jiga > *jidˊa etc."
1,9,F,TRUE,"Feeding: The Third Palatalization (§ 1) created inputs for the change of *ś to *sʼ (§ 9), cf. PSl. *wi̠xa > *wi̠śa > *wi̠sʼe > Ru fʼsʼo̠."
1,13,F,TRUE,"Feeding: The Third Palatalization (§ 1) created inputs for the Assibilation of *t' and *d' to *c' and  *dz', respectively, cf. PSl. *awi̠kā˙ > *awi̠tˊā˙ > *awicʼā̠˙ > Ru. ʌfca̠; PSl *kuningu > *kunińdˊu > *kunińdzʼi > Ru. knʼa̠sʼ."
1,23,LW,TRUE,"Loanword: The loanwords Fi. arnitsa 'thick linen' (cf. ORu or(ь)nica), Fi. katitsa 'fishing weir' (cf. gen. sg. ursl. *kati̠kā), and Estn. narits 'European mink' (cf. PSl. *na̠rī˙kā˙) reflect a stage posterior to the Third Palatalization (§ 1) but prior to the change of PSl *a to *o (§ 23)"
2,3,F,TRUE,"Feeding: Umlaut (§ 2) of *aj to *ej created inputs for the monophthongization of *ej to *ī (§ 3), cf. PSl *ja̠jxu > *je̠jxu > *jī̠xu > Ru i̠x."
2,3,B,TRUE,"Bleeding: Umlaut (§ 2) of *aj to *ej withdrew inputs from the monophthongization of *aj to *ē (§ 3), cf. PSl *ja̠jxu > *je̠jxu > *jī̠xu > Ru i̠x."
2,4,F,TRUE,"Feeding: Umlaut (§ 2) created inputs for the depalatalization of *ē to *ā (§ 4), cf. PSl. *brā̠˙tijā˙ > *brā̠˙tijē˙ > *brā̠˙tijā˙ > Ru. bra̠tʼjɪ."
2,9,CB,FALSE,"Counterbleeding: Assuming that Umlaut (§ 2) occurred only after palatal consonants, the change of *ś to *sʼ (§ 9) would have withdrawn imputs from Umlaut (§ 2), had the former occurred before the latter. Hence PSl. *wi̠xa > *wi̠śa > *wi̠śe > *wi̠sʼe > Ru. fʼsʼo̠ would show that Umlaut (§ 2) occurred before the change of *ś to *sʼ (§ 9)."
2,17,B,FALSE,"Bleeding: Umlaut (§ 2) of *ū to *ī withdrew inputs from the change of *ū to *ȳ (§ 17), cf.  PSl. *sjū̠˙jā˙ > *sjī̠˙jē˙ > Ru. ṡe̠jə (or did umlaut affect *ȳ?)."
2,24,CF,FALSE,"Counterfeeding: Had j-Prothesis (§ 24) occurred before Umlaut (§ 2), the former change would have created inputs for the latter. That it had not is shown by the lack of umlaut in Ru. я̠блоко  'apple'. Otherwise the initial vocalism in Ru. я̠блоко < PSl. *ā̠˙bluka could be explained only if Depalatalization (§ 4) is dated after j-prothesis which seems to be contradicted by PSl. *ē̠˙stēj > Ru. je̠sʼtʼ."
3,6,F,TRUE,"Feeding: The monophthongization of *ej to *ẹ̄ (§ 3) created inputs for the change of *ẹ̄ to *ī (§ 6), cf. PSl. *zejmā̠˙ > *zẹ̄mā̠˙ > *zīmā̠˙ > Ru. zʼima̠."
3,7,F,TRUE,"Feeding: The monophthongization (§ 3) created inputs for the Second Palatalization (§ 7), cf. PSl. *kajnā̠˙ > *kēnā̠˙ > *tˊēnā̠˙ > Ru. cəna̠; PSl. *kwajtu > *kwētu > *tˊwētu > Ru. cvʼe̠t; PSl. *gwa̠jzdā˙ > *gwē̠zdā˙ > *dˊwē̠zdā˙ > Ru. zʼvʼɪzda̠."
3,8,B,TRUE,"Bleeding: The monophthongization of *aw, *āw, *ew, *ēw to *ọ̄ (§ 3) withdrew inputs from l-epenthesis (§ 8), cf. PSl. *čja̠w˙jete > *čjọ̠̄˙jete > Ru. ču̠jɪtʼɪ and not PSl. *čja̠w˙jete > *čje̠w˙jete > **čje̠w˙ljete > **čjọ̠̄˙ljete > Ru. **ču̠ljʼɪtʼɪ"
3,26,F,TRUE,"Feeding: The monophthongization of *aj, *āj to *ē (§ 3) created inputs for *ē to *ě̄ (§ 26), cf. PSl, *sē̠˙weru > *sě̠̄˙weru > Ru. sʼe̠vʼɪr; PSl. *stajnā̠˙ > *stēnā̠˙ > *stě̄nā̠˙ > Ru. sʼtʼɪna̠."
3,27,LW,FALSE,Loanword: The toponym Lat. Ma̠ximus > rom.*Ma̠jsẹmu > Sl. *Ma̠jsьmъ > Čak. Ma̠jsan was borrowed after the Monophthongization (§ 3) but before the change of *i to *ь (§ 27).
3,28,F,TRUE,"Feeding: The monophthongization of *aj, *āj to *ě̄ (§ 28) created inputs for the shortening of word-final long vowels (§ 28), cf. PSl. *u wu̠nāj > *wu wuně̠̄ > *wъ wъně̠ > Ru. vʌvnʼe̠."
3,31,F,TRUE,"Feeding: The monophthongation of *aj, *āj to *ē (§ 3) created inputs for the rize of secondary palatalization before front vowels (§ 31), cf. PSl. *stajnā̠˙ > *stě̄na̠ > *stʼě̄na̠ > Ru. sʼtʼɪna̠; PSl. *ta̠jxu > *tě̄xъ̠ > *tʼě̄xъ̠ > Ru. tʼe̠x."
3,36,LW,FALSE,Loanword: The loanword Latv. ļùoti (cf. PSl *lja̠wtu) reflects a stage posterior to Monophthongization (§ 3) but prior to Ivšić's Law (§ 36).
3,38,F,TRUE,"Feeding: The monophthongization of *aw, *āw, *ew, *ēw to *ọ̄ (§ 3) created inputs for the change of *ọ̄ to *ū (§ 8) PSl. *ba̠w˙rjā˙ > *ba̠w˙rjē˙ > *bọ̠̄˙rjē˙ > Ru. bu̠rʼɪ."
4,7,CF,TRUE,"Counterfeeding: Had the Second Palatalization (§ 7) occurred before the Depalatalization (§ 4), the former change would have created inputs for the latter, cf. PSl. *kajnā̠˙ > *kēnā̠˙ > *tˊēnā̠˙ > Ru. cəna̠ and not PSl. *kajnā̠˙ > *kēnā̠˙ > *tˊēnā̠˙ > **tˊānā̠˙ > Ru. **cʌna̠."
